Nº,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Ov05,HT_Odd_Un05,FT_Odd_Ov15,FT_Odd_Un15,FT_Odd_Ov25,FT_Odd_Un25,FT_Odd_BTTS_Y,FT_Odd_BTTS_N,Prob_H,Prob_D,Prob_A,Prob_Ov05_HT,Prob_Un05_HT,Prob_Ov15_FT,Prob_Un15_FT,Prob_Ov25_FT,Prob_Un25_FT,Prob_BTTS_Y_FT,Prob_BTTS_N_FT,H_D,H_A,D_H,D_A,A_H,A_D,Dif_Abs_HomeAway,Dif_Abs_HomeDraw,Dif_Abs_DrawAway,Angle_HomeAway,Angle_HomeDraw,Angle_DrawAway,Dif_Perc_HomeAway,Dif_Perc_HomeDraw,Dif_Perc_DrawAway,Media_Ptos_Home,CV_Ptos_Home,Media_Ptos_Away,CV_Ptos_Away,Media_SG_Home,CV_SG_Home,Media_SG_Away,CV_SG_Away,Media_GM_Home_1P,CV_GM_Home_1P,Media_GM_Away_1P,CV_GM_Away_1P,Media_GS_Home_1P,CV_GS_Home_1P,Media_GS_Away_1P,CV_GS_Away_1P,Media_GM_Home,CV_GM_Home,Media_GM_Away,CV_GM_Away,Media_GS_Home,CV_GS_Home,Media_GS_Away,CV_GS_Away,Media_CGM_Home_01,CV_CGM_Home_01,Media_CGM_Away_01,CV_CGM_Away_01,Media_CGS_Home_01,CV_CGS_Home_01,Media_CGS_Away_01,CV_CGS_Away_01,Media_CGM_Home_02,CV_CGM_Home_02,Media_CGM_Away_02,CV_CGM_Away_02,Media_CGS_Home_02,CV_CGS_Home_02,Media_CGS_Away_02,CV_CGS_Away_02,Media_RPS_MO_Home,CV_RPS_MO_Home,Media_RPS_MO_Away,CV_RPS_MO_Away,Media_RPS_OvUn_Home,CV_RPS_OvUn_Home,Media_RPS_OvUn_Away,CV_RPS_OvUn_Away,Media_RPS_BTTS_Home,CV_RPS_BTTS_Home,Media_RPS_BTTS_Away,CV_RPS_BTTS_Away,Media_Prob_Home,CV_Med_Prob_Home,Media_Prob_Away,CV_Med_Prob_Away,Med_Prim_Golo_Marcado_Home,Med_Prim_Golo_Sofrido_Home,Med_Prim_Golo_Marcado_Away,Med_Prim_Golo_Sofrido_Away,Porc_Marcou_Primeiro_Golo_Home,Porc_Marcou_Primeiro_Golo_Away,Porc_Sofreu_Primeiro_Golo_Home,Porc_Sofreu_Primeiro_Golo_Away,Porc_Marcou_Primeiro_Golo_Home_1P,Porc_Marcou_Primeiro_Golo_Away_1P,Porc_Sofreu_Primeiro_Golo_Home_1P,Porc_Sofreu_Primeiro_Golo_Away_1P,Porc_BTTS_Y_Home,Porc_BTTS_Y_Away,Porc_Over05HT_Home,Porc_Over05HT_Away,Porc_Under05HT_Home,Porc_Under05HT_Away,Porc_Over15HT_Home,Porc_Over15HT_Away,Porc_Under15HT_Home,Porc_Under15HT_Away,Porc_Over05FT_Home,Porc_Over05FT_Away,Porc_Under05FT_Home,Porc_Under05FT_Away,Porc_Over15FT_Home,Porc_Over15FT_Away,Porc_Under15FT_Home,Porc_Under15FT_Away,Porc_Over25FT_Home,Porc_Over25FT_Away,Porc_Under25FT_Home,Porc_Under25FT_Away,Porc_Home_Win_HT,Porc_Away_Win_HT,Porc_Home_Win_FT,Porc_Away_Win_FT,Porc_Score_Min_1G_Home,Porc_Score_Min_1G_Away,Porc_Took_Min_1G_Home,Porc_Took_Min_1G_Away,Med_Power_Ranking_Home,CV_pwr_Home,Med_Power_Ranking_Away,CV_pwr_Away
90,MEXICO - LIGA MX,2024-12-01,00:00,Toluca,Club America,1.95,3.6,3.25,1.33,3.25,1.22,4.0,1.75,2.05,1.67,2.1,0.5128,0.2778,0.3077,0.7519,0.3077,0.8197,0.25,0.5714,0.4878,0.5988,0.4762,0.5417,0.6,1.8462,1.1077,1.6667,0.9028,1.3,1.65,0.35,33.0239,39.5226,-9.9262,0.4,0.4583,0.1077,1.7686,0.6602,0.9247,1.1846,1.1408,0.2812,-0.4472,-1.7764,0.9501,0.9198,0.7901,1.4779,0.485,1.0402,0.8165,0.7385,2.0056,0.8451,1.2026,1.1813,0.8648,0.8682,1.6498,0.8295,4.0309,0.0661,3.2692,0.0919,1.2018,0.1038,4.0645,0.1856,1.5872,0.0616,1.0013,0.0757,0.6781,0.0565,1.0922,0.1065,0.4481,0.8572,0.6752,0.2953,0.7831,0.2158,0.5332,0.1795,0.5348,0.3113,0.4815,0.2685,0.6289,0.2062,0.4572,0.1804,21.0909,25.9091,25.4545,26.4545,63.6364,36.3636,27.2727,54.5455,63.6364,36.3636,27.2727,45.4545,54.5455,63.6364,90.9091,81.8182,9.0909,18.1818,63.6364,54.5455,36.3636,45.4545,81.8182,81.8182,81.8182,81.8182,90.9091,90.9091,18.1818,18.1818,72.7273,54.5455,27.2727,45.4545,54.5455,9.0909,63.6364,18.1818,63.6364,36.3636,27.2727,54.5455,218.7606,0.4023,184.4346,0.5211
29,COSTA RICA - PRIMERA DIVISION,2024-12-01,00:00,Guanacasteca,Alajuelense,3.8,3.4,1.83,1.4,2.75,1.25,3.75,1.9,1.9,1.8,1.91,0.2632,0.2941,0.5464,0.7143,0.3636,0.8,0.2667,0.5263,0.5263,0.5556,0.5236,1.1176,2.0765,0.8947,1.8579,0.4816,0.5382,1.97,0.4,1.57,-44.567,-11.3099,-38.1319,1.0765,0.1176,0.8579,2.1052,0.6656,1.2862,0.9436,0.5259,1.3778,-0.4953,-1.3642,0.6119,1.2849,0.4808,1.6826,0.6199,1.6708,0.6844,1.1821,1.579,0.6503,0.8546,1.1045,1.0531,1.1235,1.3499,0.7991,3.9926,0.0763,2.069,0.1362,2.1981,0.1206,2.8116,0.1639,1.09,0.0812,0.8419,0.088,0.6809,0.0492,0.7965,0.1045,0.5516,0.3852,0.5453,0.4858,0.535,0.152,0.4703,0.1495,0.5641,0.2037,0.5328,0.1612,0.4526,0.2452,0.502,0.2795,31.6364,20.8182,22.1818,21.4545,72.7273,36.3636,18.1818,54.5455,54.5455,18.1818,9.0909,45.4545,45.4545,54.5455,72.7273,63.6364,27.2727,36.3636,45.4545,45.4545,54.5455,54.5455,81.8182,72.7273,81.8182,72.7273,100.0,90.9091,18.1818,27.2727,63.6364,45.4545,36.3636,54.5455,45.4545,18.1818,72.7273,36.3636,72.7273,36.3636,18.1818,54.5455,267.2937,0.2965,169.265,0.5507
147,USA - MLS,2024-12-01,01:30,Orlando City,New York Red Bulls,1.8,3.8,4.0,1.36,3.0,1.25,3.75,1.88,1.98,1.75,2.0,0.5556,0.2632,0.25,0.7353,0.3333,0.8,0.2667,0.5319,0.5051,0.5714,0.5,0.4737,0.45,2.1111,0.95,2.2222,1.0526,2.2,2.0,0.2,47.7263,45.0,5.7106,0.55,0.5263,0.05,2.047,0.6214,1.2515,0.9992,1.062,0.4424,0.2955,2.0487,0.9119,1.339,0.5925,0.8814,0.3459,1.8696,0.4051,1.6974,2.1665,0.5937,1.4223,0.9622,1.1045,0.9457,1.1268,0.6663,3.8655,0.1935,3.5728,0.0697,1.1119,0.3368,2.9028,0.3461,1.4841,0.1689,0.817,0.0683,0.6205,0.1383,0.7261,0.1245,0.3725,0.734,0.7338,0.2105,0.7386,0.145,0.6113,0.1287,0.5218,0.4128,0.4586,0.4032,0.6046,0.1411,0.3613,0.183,40.8182,28.6364,38.3636,37.1818,72.7273,36.3636,27.2727,54.5455,45.4545,36.3636,18.1818,36.3636,54.5455,72.7273,63.6364,72.7273,36.3636,27.2727,45.4545,27.2727,54.5455,72.7273,100.0,72.7273,100.0,72.7273,100.0,90.9091,0.0,27.2727,72.7273,54.5455,27.2727,45.4545,45.4545,36.3636,72.7273,27.2727,72.7273,36.3636,27.2727,54.5455,279.8213,0.1687,236.3321,0.3245
19,BRAZIL - SERIE A BETANO,2024-12-01,01:30,Vasco,Atletico GO,1.5,4.0,6.0,1.37,2.75,1.3,3.5,1.99,1.91,2.0,1.75,0.6667,0.25,0.1667,0.7299,0.3636,0.7692,0.2857,0.5025,0.5236,0.5,0.5714,0.375,0.25,2.6667,0.6667,4.0,1.5,4.5,2.5,2.0,66.0375,51.3402,45.0,0.75,0.625,0.3333,2.0797,0.5615,0.1491,2.7129,0.9529,0.5204,-1.7187,-0.3647,0.7855,1.2845,0.5477,0.9534,0.5796,0.901,1.1843,0.634,1.8192,0.593,0.5477,0.9534,0.8663,0.8667,2.2664,0.476,3.3937,0.0758,3.1273,0.1475,2.1845,0.587,14.4505,0.2277,0.936,0.0541,0.3659,0.217,0.6178,0.338,1.275,0.1635,0.5815,0.3512,0.2972,0.7904,0.4252,0.3278,0.4588,0.2411,0.4679,0.2404,0.5036,0.1463,0.4174,0.2621,0.1864,0.3085,39.4545,16.8182,14.2727,21.0,45.4545,18.1818,54.5455,72.7273,27.2727,18.1818,45.4545,72.7273,54.5455,54.5455,72.7273,90.9091,27.2727,9.0909,27.2727,54.5455,72.7273,45.4545,81.8182,81.8182,81.8182,81.8182,100.0,90.9091,18.1818,18.1818,36.3636,54.5455,63.6364,45.4545,36.3636,0.0,63.6364,0.0,45.4545,18.1818,54.5455,72.7273,247.5755,0.2906,139.2428,0.5341
3,ARGENTINA - TORNEO BETANO,2024-12-01,01:45,Defensa y Justicia,Godoy Cruz,1.95,3.25,4.0,1.5,2.5,1.4,2.75,2.25,1.62,2.05,1.7,0.5128,0.3077,0.25,0.6667,0.4,0.7143,0.3636,0.4444,0.6173,0.4878,0.5882,0.6,0.4875,1.6667,0.8125,2.0513,1.2308,2.05,1.3,0.75,45.7073,33.0239,20.556,0.5125,0.4,0.1875,1.732,0.6742,0.8386,1.3549,0.3963,0.7575,-0.8896,-1.0134,0.6207,1.3034,0.3814,1.3228,0.3651,1.3818,0.8026,0.9796,1.0959,0.8957,0.7321,0.8833,0.6996,1.4423,1.6218,0.8438,2.3873,0.0736,3.2409,0.1504,1.9346,0.1386,6.9046,0.1318,0.7114,0.0732,0.4851,0.1377,0.6205,0.0841,0.8033,0.08,0.6757,0.2852,0.5983,0.4491,0.3053,0.318,0.2336,0.2406,0.5215,0.2708,0.5118,0.4297,0.4227,0.2262,0.243,0.3424,25.5455,19.5455,28.0,25.4545,54.5455,45.4545,18.1818,45.4545,45.4545,36.3636,18.1818,36.3636,45.4545,45.4545,63.6364,72.7273,36.3636,27.2727,27.2727,27.2727,72.7273,72.7273,54.5455,72.7273,54.5455,72.7273,72.7273,90.9091,45.4545,27.2727,45.4545,27.2727,54.5455,72.7273,36.3636,18.1818,45.4545,18.1818,54.5455,45.4545,18.1818,45.4545,199.3197,0.4419,159.4933,0.5367
4,ARGENTINA - TORNEO BETANO,2024-12-01,01:45,Instituto,Dep. Riestra,1.67,3.5,5.5,1.53,2.38,1.44,2.63,2.4,1.53,2.25,1.57,0.5988,0.2857,0.1818,0.6536,0.4202,0.6944,0.3802,0.4167,0.6536,0.4444,0.6369,0.4771,0.3036,2.0958,0.6364,3.2934,1.5714,3.83,1.83,2.0,62.4267,42.4585,45.0,0.6964,0.5229,0.3636,1.847,0.704,0.3928,1.3147,0.6757,0.5007,-1.0407,-0.6548,1.017,1.0771,0.2913,1.6581,0.471,1.1087,0.7199,1.4715,1.6799,0.7657,0.4803,1.0972,1.0041,0.8703,1.521,0.8902,3.5119,0.1833,2.9322,,1.97,0.184,8.8376,,1.0117,0.1758,0.3645,,0.6026,0.0909,0.819,,0.6002,0.467,0.5591,0.5795,0.2403,0.3562,0.2923,0.375,0.4606,0.4607,0.5426,0.4978,0.4779,0.2559,0.1835,0.2774,23.2727,19.7273,19.5,33.0,45.4545,20.0,36.3636,50.0,36.3636,20.0,27.2727,30.0,54.5455,50.0,63.6364,50.0,36.3636,50.0,45.4545,30.0,54.5455,70.0,72.7273,60.0,72.7273,60.0,81.8182,70.0,27.2727,40.0,45.4545,40.0,54.5455,60.0,36.3636,10.0,54.5455,0.0,45.4545,20.0,36.3636,50.0,235.9951,0.3795,91.2106,1.015
88,MEXICO - LIGA MX,2024-12-01,02:10,Cruz Azul,Club Tijuana,1.2,5.8,11.0,1.25,3.75,1.13,6.0,1.44,2.7,1.91,1.91,0.8333,0.1724,0.0909,0.8,0.2667,0.885,0.1667,0.6944,0.3704,0.5236,0.5236,0.2069,0.1091,4.8333,0.5273,9.1667,1.8966,9.8,4.6,5.2,78.4654,66.5014,68.9625,0.8909,0.7931,0.4727,1.7835,0.6547,0.9376,1.3868,0.9789,0.3561,-1.1531,-1.0502,0.7911,1.1931,0.4233,1.6244,0.4268,1.0944,0.8878,0.8457,1.9126,0.6384,0.853,1.2245,0.9337,0.8664,2.0061,0.7332,3.3537,0.0883,2.5335,0.191,1.2473,0.1582,8.7033,0.0946,1.3087,0.0716,0.498,0.1163,0.5814,0.1011,0.9525,0.0776,0.4209,0.8294,0.5555,0.6409,0.6543,0.2942,0.6735,0.2542,0.4696,0.2191,0.5236,0.3058,0.6173,0.3057,0.2687,0.3383,46.1818,17.5455,25.1818,29.9091,72.7273,27.2727,27.2727,63.6364,45.4545,18.1818,18.1818,54.5455,45.4545,45.4545,63.6364,72.7273,36.3636,27.2727,45.4545,36.3636,54.5455,63.6364,81.8182,72.7273,81.8182,72.7273,100.0,90.9091,18.1818,27.2727,54.5455,54.5455,45.4545,45.4545,45.4545,18.1818,63.6364,27.2727,72.7273,27.2727,27.2727,63.6364,258.7385,0.1642,130.9764,1.001
28,COSTA RICA - PRIMERA DIVISION,2024-12-01,03:00,Zeledon,Liberia,2.4,3.3,2.6,1.4,2.75,1.25,3.75,1.88,1.93,1.73,2.0,0.4167,0.303,0.3846,0.7143,0.3636,0.8,0.2667,0.5319,0.5181,0.578,0.5,0.7273,0.9231,1.375,1.2692,1.0833,0.7879,0.2,0.9,0.7,5.7106,24.2277,-19.29,0.0769,0.2727,0.2692,1.4057,0.8633,1.0263,1.267,-0.1124,-5.4021,-0.1545,-3.5877,0.4777,2.1497,0.7218,0.9341,0.4289,1.5719,0.5491,1.4937,0.7394,1.4126,1.7066,0.7578,0.8518,1.2664,1.861,0.8068,2.269,0.3074,6.0252,0.1876,3.0964,0.1182,6.6553,0.1428,0.6441,0.1545,0.8971,0.0915,0.6896,0.085,0.9426,0.0891,0.6253,0.4244,0.6762,0.3988,0.4219,0.2593,0.601,0.1562,0.4927,0.203,0.5424,0.2987,0.3792,0.3618,0.3397,0.3427,21.8182,25.1818,29.1818,31.1818,54.5455,45.4545,18.1818,45.4545,36.3636,36.3636,18.1818,36.3636,27.2727,54.5455,54.5455,72.7273,45.4545,27.2727,18.1818,27.2727,81.8182,72.7273,54.5455,72.7273,54.5455,72.7273,72.7273,90.9091,45.4545,27.2727,36.3636,63.6364,63.6364,36.3636,27.2727,36.3636,36.3636,27.2727,54.5455,45.4545,18.1818,45.4545,180.8229,0.5584,213.912,0.3604
148,USA - MLS,2024-12-01,04:00,Los Angeles Galaxy,Seattle Sounders,1.85,3.75,3.75,1.3,3.4,1.18,4.5,1.62,2.25,1.57,2.25,0.5405,0.2667,0.2667,0.7692,0.2941,0.8475,0.2222,0.6173,0.4444,0.6369,0.4444,0.4933,0.4933,2.027,1.0,2.027,1.0,1.9,1.9,0.0,43.5312,43.5312,0.0,0.5067,0.5067,0.0,2.5359,0.3567,1.93,0.7327,1.3873,0.2655,0.7012,1.252,0.8075,1.0293,0.4304,1.5976,0.7772,1.202,0.4878,1.4096,2.7818,0.4389,1.7348,0.7333,1.3945,0.6486,1.0336,0.8653,5.6292,0.0839,6.3455,0.1385,2.5919,0.1962,2.9728,0.3085,1.8259,0.0644,1.1166,0.1242,0.9168,0.1108,0.6166,0.1868,0.322,0.4804,0.7202,0.2381,1.0005,0.101,0.51,0.1773,0.4006,0.8744,0.5613,0.2594,0.5609,0.2268,0.3241,0.1848,39.6364,35.0,36.6364,29.7273,81.8182,72.7273,18.1818,27.2727,72.7273,36.3636,18.1818,18.1818,72.7273,45.4545,90.9091,54.5455,9.0909,45.4545,27.2727,27.2727,72.7273,72.7273,100.0,72.7273,100.0,72.7273,100.0,100.0,0.0,27.2727,81.8182,63.6364,18.1818,36.3636,72.7273,27.2727,90.9091,63.6364,81.8182,72.7273,18.1818,27.2727,289.745,0.1387,225.303,0.4018
86,JAPAN - J2 LEAGUE,2024-12-01,05:05,V-Varen Nagasaki,Vegalta Sendai,2.05,3.5,3.0,1.36,3.0,1.25,3.75,1.83,2.03,1.67,2.1,0.4878,0.2857,0.3333,0.7353,0.3333,0.8,0.2667,0.5464,0.4926,0.5988,0.4762,0.5857,0.6833,1.7073,1.1667,1.4634,0.8571,0.95,1.45,0.5,25.4077,35.9421,-14.0362,0.3167,0.4143,0.1667,2.0551,0.6327,1.4955,0.9106,1.118,0.3564,-0.1969,-2.7501,1.0453,0.7952,0.5454,0.9575,0.0773,3.9004,0.5871,0.8895,1.858,0.6998,1.0889,0.7633,0.74,1.0624,1.2859,0.9495,4.021,0.1689,2.6263,0.2107,1.5846,0.1689,3.6945,0.1219,1.4749,0.0688,0.7031,0.0879,0.7477,0.0816,0.8394,0.0872,0.476,0.6578,0.6211,0.2752,0.6693,0.1794,0.398,0.1824,0.4877,0.2924,0.4733,0.1285,0.5863,0.1714,0.4062,0.2464,26.9091,33.7273,24.6364,20.8182,81.8182,63.6364,9.0909,27.2727,63.6364,45.4545,9.0909,27.2727,54.5455,45.4545,72.7273,72.7273,27.2727,27.2727,45.4545,36.3636,54.5455,63.6364,81.8182,72.7273,81.8182,72.7273,90.9091,90.9091,18.1818,27.2727,45.4545,27.2727,54.5455,72.7273,63.6364,18.1818,63.6364,45.4545,81.8182,63.6364,9.0909,27.2727,265.367,0.2354,202.4007,0.4215
